sitename,Dispersion,Disturbed_land,Wave_mean,DIN_mean,DIN_sd,DIN_mean_1SD,DIN_se,DIN_max,Complexity,Steepness,Human_population
Aasu ,17.55104884,0.346370538,282.36,NA,NA,NA,NA,NA,2.3,3,0
Afono,12.28570702,0.323313375,199.49,0.085,0.06,0.145,0.018,0.216,2,3,185.0278954
Alega,11.24620278,0.523073531,1670.52,0.128,0.082,0.21,0.024,0.289,2.3,3,52.46383117
Alofau,15.94770995,0.57478881,63.39,0.194,0.154,0.348,0.032,0.788,2,4,594.9781508
Amalau,8.857577061,0.125673038,260.63,0.039,0.033,0.072,0.01,0.098,3.3,3,0
Amaluia,14.45268444,0.397173218,45.3,0.082,0.065,0.147,0.019,0.261,3.4,2,150.7555904
Amanave,11.33516759,0.484956126,198.46,0.102,0.097,0.199,0.019,0.431,2.6,3,288.727414
Amaua,16.52714946,0.41387015,703.46,0.048,0.033,0.081,0.009,0.127,2,3,175.670866
Amouli,12.24085675,0.406865775,454.135,0.086,0.142,0.228,0.03,0.71,2.5,3,686.5506086
Aoa,14.465671,0.24620523,262.59,0.163,0.13,0.293,0.027,0.444,3.1,3,388.7163486
Fagaalu,10.62190319,0.303526984,1663.775,0.105,0.076,0.181,0.022,0.255,1.5,3,367.2570976
Fagaitua,7.396684339,0.328409374,56.58,0.131,0.132,0.263,0.026,0.591,2.9,2,291.8954499
Fagamalo,11.93392637,0.144637695,147.92,0.034,0.026,0.06,0.008,0.095,3.3,3,46.23335772
Fagasa2,16.93530765,0.427010114,230.625,0.101,0.084,0.185,0.018,0.405,2.8,4,237.9161274
Fagatele,10.73174196,0.757035314,38.6,0.026,0.019,0.045,0.006,0.068,3,2,0
Laulii,15.70880581,0.25671843,1986.64,0.07,0.041,0.111,0.012,0.164,2.4,3,507.2422046
Leone2,9.487372262,0.549975428,63.14,0.183,0.114,0.297,0.033,0.413,3.5,2,107.7408493
Maloata,9.476535062,0.102960866,370.11,0.06,0.063,0.123,0.018,0.242,2.9,3,2.855247066
Masausi,8.579751964,0.354431175,184.93,0.051,0.034,0.085,0.007,0.154,2.9,3,204.3110567
Masefau,15.72464319,0.460898375,108.325,0.081,0.044,0.125,0.013,0.157,1.9,2,117.4015403
Matuu,12.70539993,0.21208928,2071.4,0.058,0.043,0.101,0.012,0.175,2.3,3,333.4171664
Nua,14.47482313,0.193980478,48.28,0.055,0.097,0.152,0.028,0.355,2.8,3,208.6139887
Nuuuli,10.63713575,0.53654838,1971.25,0.089,0.037,0.126,0.011,0.179,2.3,4,224.6873931
Oa,6.621669196,0,276.05,NA,NA,NA,NA,NA,2.8,2,0
Poloa,8.903368463,0.362348693,431.73,0.128,0.094,0.222,0.027,0.368,3,4,184.0848813
Sita ,9.906072561,0.014752566,382.93,NA,NA,NA,NA,NA,2,3,0
Tafeu,14.23643736,0.002212691,200.67,NA,NA,NA,NA,NA,3,3,0
Vatia,17.2422166,0.244262507,220.345,0.09,0.113,0.203,0.019,0.561,2.1,3,176.6470374
