sitename,Dispersion,BCA,BSR,CCA,Coral,Evenness_coral,Evenness_benthic,FCA,Halimeda,OtherInverts,Macroalgae_noncalc,Rubble,Sand,Shannon_benthic,Shannon_coral,Simpson_benthic,Simpson_coral,Turf
Aasu ,17.55104884,0.9,1.603389831,24.36,34.49,0.65,0.81,16.41,0.897435897,1.03,1.025641026,0.26,0.26,1.42,1.22,0.73,0.58,20.38
Afono,12.28570702,14.31,2.11784897,7.08,17.53,0.76,0.87,23.62,27.51794872,0.38,0.769230769,0,1.79,1.71,1.26,0.8,0.67,6.98
Alega,11.24620278,0.51,1.292517007,34.62,11.28,0.89,0.8,30.26,2.307692308,12.05,5.641025641,0,1.28,1.56,1.33,0.75,0.67,1.79
Alofau,15.94770995,2.7,0.461573237,14.24,12.67,0.68,0.72,50.02,1.805128205,0.13,4.784615385,0,0.39,1.39,0.9,0.67,0.55,13.26
Amalau,8.857577061,0.26,3.450321987,17.73,56.89,0.74,0.66,20.49,2.056410256,0.77,0.133333333,0,0,1.12,1.67,0.6,0.75,1.68
Amaluia,14.45268444,0,2.486111111,20.38,47.82,0.77,0.75,14.49,0.641025641,3.08,8.58974359,0,0.38,1.39,1.75,0.69,0.77,4.62
Amanave,11.33516759,0.26,7.576470588,25.64,56.67,0.57,0.66,9.36,0,6.54,0.128205128,0,0,1.11,1.14,0.59,0.53,1.41
Amaua,16.52714946,0,0.738823529,29.74,10.38,0.78,0.78,39.87,0.128205128,5.26,12.30769231,0,0,1.35,0.89,0.7,0.56,2.31
Amouli,12.24085675,0.26,2.856678847,43.14,28.76,0.85,0.71,21.65,0,2.45,0.384615385,0,0.13,1.25,1.91,0.67,0.84,3.23
Aoa,14.465671,12.82,2.536697248,8.59,48.97,0.63,0.73,16.54,0.512820513,0.51,1.282051282,0,0.51,1.39,1.13,0.68,0.6,10.13
Fagaalu,10.62190319,0,0.76091954,32.56,9.62,0.81,0.71,53.08,0.256410256,1.79,0,0,0,1.05,0.93,0.6,0.66,2.69
Fagaitua,7.396684339,4.23,3.523529412,30,41.41,0.82,0.72,15.64,1.153846154,1.28,0.769230769,0.13,0,1.42,1.86,0.71,0.82,5.38
Fagamalo,11.93392637,1.28,1.351681957,32.44,21.54,0.63,0.85,23.97,1.41025641,0,0.128205128,0,0.13,1.43,1.02,0.74,0.53,17.82
Fagasa2,16.93530765,6.92,1.227665706,20.9,21.54,0.81,0.85,16.15,5.256410256,0.64,2.820512821,0,0.26,1.65,1.42,0.78,0.74,25.51
Fagatele,10.73174196,0.64,2.684466019,26.54,40.9,0.79,0.72,18.72,2.820512821,2.56,2.692307692,0.13,0,1.46,1.8,0.72,0.8,5
Laulii,15.70880581,4.12,1.882086168,32.79,22.42,0.7,0.77,26.12,0.256410256,8.23,1.287179487,0.26,0.26,1.51,1.41,0.74,0.66,4.26
Leone2,9.487372262,0.13,2.644549763,25.51,45.51,0.77,0.76,12.31,0.384615385,1.41,8.974358974,0,0,1.38,1.65,0.7,0.76,5.77
Maloata,9.476535062,1.54,4.064935065,20.51,58.08,0.6,0.69,18.59,0.128205128,0,0,0,0,1.04,1.31,0.58,0.59,1.15
Masausi,8.579751964,2.05,1.784946237,14.87,44.74,0.7,0.73,30.51,2.179487179,0.26,0,0,0,1.3,1.63,0.68,0.72,5.26
Masefau,15.72464319,14.41,0.848089343,1.41,4.39,0.86,0.87,8.36,12.11282051,0.13,0.256410256,12.74,16.7,1.78,0.76,0.81,0.73,29.5
Matuu,12.70539993,1.92,1.559440559,32.82,21.54,0.83,0.75,28.21,0.897435897,2.69,3.461538462,2.95,0.51,1.56,1.83,0.75,0.81,5
Nua,14.47482313,0.38,0.807058824,15.77,25.9,0.75,0.86,17.69,1.923076923,0.9,21.92307692,0.26,0.26,1.65,1.29,0.79,0.67,14.87
Nuuuli,10.63713575,0,0.863979849,36.15,7.82,0.72,0.81,27.44,0,5.13,20.64102564,0,0,1.43,0.9,0.73,0.58,2.82
Oa,6.621669196,0.64,3.374770642,14.71,59.97,0.6,0.67,8.01,0.128205128,1.54,0.646153846,0.26,0.38,1.19,1.34,0.59,0.6,13.7
Poloa,8.903368463,0,3.534883721,35.26,42.69,0.7,0.83,16.92,0,0,0.128205128,0,0,1.17,1.41,0.66,0.65,5
Sita ,9.906072561,3.97,1.805089647,27.62,29.73,0.77,0.82,18.96,2.702564103,0.51,1.558974359,0,0,1.58,1.7,0.77,0.76,14.95
Tafeu,14.23643736,0.9,1.431734317,10.38,38.46,0.71,0.8,11.67,0,15.26,1.025641026,0,0.26,1.48,1.38,0.74,0.66,22.05
Vatia,17.2422166,11.92,0.972392638,6.54,13.59,0.8,0.87,8.33,8.58974359,0,3.846153846,5,12.56,1.88,1.16,0.82,0.67,29.62
