"","sitename","distances","rank","quartile","dispersion"
"20","Masefau",2.00179333638268,1,1,"Low"
"23","Nuuuli",3.3748272772101,2,1,"Low"
"11","Fagaalu",3.79614433299176,3,1,"Low"
"3","Alega",4.53493816768073,4,1,"Low"
"2","Afono",4.5384684463712,5,1,"Low"
"28","Vatia",5.42388402454609,6,1,"Low"
"8","Amaua",5.74464578618924,7,1,"Low"
"7","Amanave",6.4603184960866,8,2,"Med"
"21","Matuu",6.64291435068399,9,2,"Med"
"4","Alofau",6.75161559841033,10,2,"Med"
"9","Amouli",6.93226519111037,11,2,"Med"
"17","Leone2",7.18047439357572,12,2,"Med"
"19","Masausi",7.52267730337034,13,2,"Med"
"25","Poloa",7.77028776712138,14,2,"Med"
"22","Nua",7.83821704177203,15,3,"Med"
"24","Oa",7.99622932103809,16,3,"Med"
"14","Fagasa2",7.99730250269214,17,3,"Med"
"12","Fagaitua",8.01796399095224,18,3,"Med"
"16","Laulii",8.11085355519235,19,3,"Med"
"26","Sita",8.11711095043885,20,3,"Med"
"5","Amalau",9.56067451059041,21,3,"Med"
"6","Amaluia",10.204130900148,22,4,"High"
"1","Aasu",10.5225690742018,23,4,"High"
"15","Fagatele",10.5785945500642,24,4,"High"
"13","Fagamalo",10.8003101253358,25,4,"High"
"10","Aoa",11.4092843127554,26,4,"High"
"18","Maloata",11.5637639999862,27,4,"High"
"27","Tafeu",13.1258765790202,28,4,"High"
